Clusters,Iteration,Dimensions,Gamma,Points,Loss,Scale
5,-1,1,1,100,3.3355427,1
5,-1,1,10,100,1.4956304,1
5,-1,1,100,100,0.2681389,1
5,-1,1,1,278,3.1376328,1
5,-1,1,10,278,1.478448,1
5,-1,1,100,278,0.17034087,1
5,-1,1,1,774,2.8486965,1
5,-1,1,10,774,2.01552,1
5,-1,1,100,774,0.010607123,1
5,-1,1,1,2154,3.1044617,1
5,-1,1,10,2154,2.311161,1
5,-1,1,100,2154,0.49648547,1
5,-1,1,1,5994,2.9589674,1
5,-1,1,10,5994,2.8846643,1
5,-1,1,100,5994,0.46080375,1
5,-1,1,1,16681,2.7213795,1
5,-1,1,10,16681,2.7203987,1
5,-1,1,100,16681,0.39981914,1
5,-1,1,1,46415,3.2634263,1
5,-1,1,10,46415,3.2317238,1
5,-1,1,100,46415,0.7764845,1
5,-1,1,1,129154,2.58875,1
5,-1,1,10,129154,2.5887213,1
5,-1,1,100,129154,0.37832022,1
5,-1,1,1,359381,2.9097648,1
5,-1,1,10,359381,2.909327,1
5,-1,1,100,359381,0.5272827,1
5,-1,1,1,1000000,3.3398957,1
5,-1,1,10,1000000,3.2561612,1
5,-1,1,100,1000000,0.3980627,1
5,-1,1,1,100,3.16602,2
5,-1,1,10,100,0.49258566,2
5,-1,1,100,100,-0.0026939064,2
5,-1,1,1,278,2.921273,2
5,-1,1,10,278,0.6049559,2
5,-1,1,100,278,-8.1419945e-05,2
5,-1,1,1,774,2.5670288,2
5,-1,1,10,774,0.48922396,2
5,-1,1,100,774,-0.003805399,2
5,-1,1,1,2154,2.7914953,2
5,-1,1,10,2154,0.9584799,2
5,-1,1,100,2154,-0.01772809,2
5,-1,1,1,5994,2.8657618,2
5,-1,1,10,5994,0.65093374,2
5,-1,1,100,5994,-0.041743755,2
5,-1,1,1,16681,2.6740937,2
5,-1,1,10,16681,1.165451,2
5,-1,1,100,16681,0.02862072,2
5,-1,1,1,46415,2.966073,2
5,-1,1,10,46415,0.9790721,2
5,-1,1,100,46415,0.0043959618,2
5,-1,1,1,129154,2.851437,2
5,-1,1,10,129154,0.5609703,2
5,-1,1,100,129154,-0.029575825,2
5,-1,1,1,359381,3.4739566,2
5,-1,1,10,359381,1.2046733,2
5,-1,1,100,359381,0.6607423,2
5,-1,1,1,1000000,2.7074413,2
5,-1,1,10,1000000,1.366375,2
5,-1,1,100,1000000,0.021767616,2
5,-1,1,1,100,1.8562672,3
5,-1,1,10,100,0.27548176,3
5,-1,1,100,100,0.00066006184,3
5,-1,1,1,278,2.2304556,3
5,-1,1,10,278,-0.0077676773,3
5,-1,1,100,278,0.003450632,3
5,-1,1,1,774,2.7597425,3
5,-1,1,10,774,0.11729765,3
5,-1,1,100,774,-0.03534317,3
5,-1,1,1,2154,2.9106836,3
5,-1,1,10,2154,0.43836594,3
5,-1,1,100,2154,-0.0009942055,3
5,-1,1,1,5994,2.7223525,3
5,-1,1,10,5994,0.1646018,3
5,-1,1,100,5994,-0.019070625,3
5,-1,1,1,16681,2.8379812,3
5,-1,1,10,16681,0.22397423,3
5,-1,1,100,16681,0.0028123856,3
5,-1,1,1,46415,2.8922234,3
5,-1,1,10,46415,0.71600723,3
5,-1,1,100,46415,0.010395527,3
5,-1,1,1,129154,3.4267888,3
5,-1,1,10,129154,0.857697,3
5,-1,1,100,129154,0.0002040863,3
5,-1,1,1,359381,3.3535776,3
5,-1,1,10,359381,0.8126383,3
5,-1,1,100,359381,-0.0010356903,3
5,-1,1,1,1000000,2.7252264,3
5,-1,1,10,1000000,0.44472313,3
5,-1,1,100,1000000,0.005578041,3
5,-1,1,1,100,1.6086237,4
5,-1,1,10,100,0.029766202,4
5,-1,1,100,100,-0.0005260706,4
5,-1,1,1,278,1.1906309,4
5,-1,1,10,278,0.012725592,4
5,-1,1,100,278,-0.004204273,4
5,-1,1,1,774,1.2722776,4
5,-1,1,10,774,0.22635412,4
5,-1,1,100,774,-0.0027029514,4
5,-1,1,1,2154,0.93635845,4
5,-1,1,10,2154,0.14871597,4
5,-1,1,100,2154,0.00027227402,4
5,-1,1,1,5994,2.3600726,4
5,-1,1,10,5994,-0.0023078918,4
5,-1,1,100,5994,-0.002195835,4
5,-1,1,1,16681,2.6405911,4
5,-1,1,10,16681,0.16671085,4
5,-1,1,100,16681,0.0006093979,4
5,-1,1,1,46415,1.7165003,4
5,-1,1,10,46415,0.18244648,4
5,-1,1,100,46415,-0.005750656,4
5,-1,1,1,129154,2.202919,4
5,-1,1,10,129154,0.09095001,4
5,-1,1,100,129154,-5.4359436e-05,4
5,-1,1,1,359381,1.9509697,4
5,-1,1,10,359381,0.0767498,4
5,-1,1,100,359381,-0.00033664703,4
5,-1,1,1,1000000,2.5440664,4
5,-1,1,10,1000000,0.2251358,4
5,-1,1,100,1000000,-0.0016994476,4
5,-1,1,1,100,1.5870998,5
5,-1,1,10,100,0.010100007,5
5,-1,1,100,100,0.006339431,5
5,-1,1,1,278,1.6055684,5
5,-1,1,10,278,0.010528088,5
5,-1,1,100,278,0.000218153,5
5,-1,1,1,774,1.4199009,5
5,-1,1,10,774,0.0145049095,5
5,-1,1,100,774,-0.00045871735,5
5,-1,1,1,2154,1.6980495,5
5,-1,1,10,2154,0.05809021,5
5,-1,1,100,2154,-0.00022268295,5
5,-1,1,1,5994,1.3912468,5
5,-1,1,10,5994,0.044435024,5
5,-1,1,100,5994,-0.00017642975,5
5,-1,1,1,16681,1.6381979,5
5,-1,1,10,16681,0.041425705,5
5,-1,1,100,16681,-0.014912128,5
5,-1,1,1,46415,1.5767365,5
5,-1,1,10,46415,0.08689928,5
5,-1,1,100,46415,0.0011119843,5
5,-1,1,1,129154,1.4410696,5
5,-1,1,10,129154,0.10946655,5
5,-1,1,100,129154,0.0025234222,5
5,-1,1,1,359381,1.540534,5
5,-1,1,10,359381,0.019248962,5
5,-1,1,100,359381,0.00088596344,5
5,-1,1,1,1000000,1.7148352,5
5,-1,1,10,1000000,0.112641335,5
5,-1,1,100,1000000,-0.01172924,5
5,-1,1,1,100,0.57807446,6
5,-1,1,10,100,0.009503126,6
5,-1,1,100,100,3.4093857e-05,6
5,-1,1,1,278,0.9240577,6
5,-1,1,10,278,0.003736496,6
5,-1,1,100,278,4.529953e-05,6
5,-1,1,1,774,1.1108437,6
5,-1,1,10,774,-0.0066833496,6
5,-1,1,100,774,-0.015754223,6
5,-1,1,1,2154,1.072267,6
5,-1,1,10,2154,0.0114398,6
5,-1,1,100,2154,0.00039720535,6
5,-1,1,1,5994,1.1075726,6
5,-1,1,10,5994,0.011839867,6
5,-1,1,100,5994,0.0014004707,6
5,-1,1,1,16681,1.0023022,6
5,-1,1,10,16681,-0.13182068,6
5,-1,1,100,16681,-0.047720432,6
5,-1,1,1,46415,1.377348,6
5,-1,1,10,46415,0.018152237,6
5,-1,1,100,46415,-0.000121593475,6
5,-1,1,1,129154,1.1144123,6
5,-1,1,10,129154,0.015366554,6
5,-1,1,100,129154,-0.00043201447,6
5,-1,1,1,359381,1.1544447,6
5,-1,1,10,359381,-0.10602951,6
5,-1,1,100,359381,-0.003753662,6
5,-1,1,1,1000000,1.0236816,6
5,-1,1,10,1000000,0.007929802,6
5,-1,1,100,1000000,-3.4332275e-05,6
5,-1,1,1,100,0.50568223,7
5,-1,1,10,100,0.008636475,7
5,-1,1,100,100,-1.9073486e-06,7
5,-1,1,1,278,0.662266,7
5,-1,1,10,278,0.0002503395,7
5,-1,1,100,278,-9.1552734e-05,7
5,-1,1,1,774,1.2702074,7
5,-1,1,10,774,0.031805515,7
5,-1,1,100,774,0.0007042885,7
5,-1,1,1,2154,0.8494406,7
5,-1,1,10,2154,0.0019278526,7
5,-1,1,100,2154,4.4822693e-05,7
5,-1,1,1,5994,1.0461693,7
5,-1,1,10,5994,0.004684925,7
5,-1,1,100,5994,2.002716e-05,7
5,-1,1,1,16681,0.6252022,7
5,-1,1,10,16681,-0.0017328262,7
5,-1,1,100,16681,-9.2983246e-05,7
5,-1,1,1,46415,1.3441696,7
5,-1,1,10,46415,0.0013074875,7
5,-1,1,100,46415,-3.4332275e-05,7
5,-1,1,1,129154,1.0771675,7
5,-1,1,10,129154,-0.048994064,7
